tall short
big small
happy sad
safe dangerous
confortable unconfortable
huge tiny
near far
funny serious
beautiful ugly

attractive unattravtive
good bad
cold hot
rich poor

expensive cheap
neat messy
polite impolite
heereeeeeee
inteligent stupid/dumb
quiet noisy
interesting boring

wet dry
clean dirty
cowded empty
friendly unfriendly

faithful unfaithful
honest dishonest
